Dijkstra;Type:Full;Vertices:10;16;;;;;;;;;;;;;;;;;;;;;;;Дейкстра;Флойд-Уоршелл;Беллманн-Форд;А-star;;
A-star;Type:Full;Vertices:860;9685;;;;;;;;;;;;;;;;;;;;;;;;;;;;Все алгоритмы при графе с плотностью 0.4 - 0.5
A-star;Type:Full;Vertices:910;10980;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:960;12012;;;;;;;;;;;;;;;;;;;;;;;Дейкстра;Флойд-Уоршелл;Беллманн-Форд;А-star;;
A-star;Type:Full;Vertices:1010;12757;;;;;;;;;;;;;;;;;;;;;;Vertices:10;10;22;7;7;;
Dijkstra;Type:Semi;Vertices:10;10;;;;;;;;;;;;;;;;;;;;;;Vertices:60;149;3911;976;86;;
Dijkstra;Type:Semi;Vertices:60;149;;;;;;;;;;;;;;;;;;;;;;Vertices:110;358;25356;5534;205;;
Dijkstra;Type:Semi;Vertices:110;358;;;;;;;;;;;Дейкстра при графе с плотностью 0.4;;;;;;;;;;;Vertices:160;621;74160;16808;404;;
Dijkstra;Type:Semi;Vertices:160;621;;;;;;;;;;;;;;;;;;;;;;Vertices:210;926;165430;37496;592;;
Dijkstra;Type:Semi;Vertices:210;926;;;;;;;;;;;;;;;;;;;;;;Vertices:260;1338;313869;72863;861;;
Dijkstra;Type:Semi;Vertices:260;1338;;;;;;;;;;;;;;;;;;;;;;Vertices:310;1727;534641;120896;1192;;
Dijkstra;Type:Semi;Vertices:310;1727;;;;;;;;;;;;;;;;;;;;;;Vertices:360;2223;826513;190350;1568;;
Dijkstra;Type:Semi;Vertices:360;2223;;;;;;;;;;;;;;;;;;;;;;Vertices:410;2646;1227490;280882;1838;;
Dijkstra;Type:Semi;Vertices:410;2646;;;;;;;;;;;;;;;;;;;;;;Vertices:460;3275;1771650;399547;2056;;
Dijkstra;Type:Semi;Vertices:460;3275;;;;;;;;;;;;;;;;;;;;;;Vertices:510;3731;2400040;540447;2653;;
Dijkstra;Type:Semi;Vertices:510;3731;;;;;;;;;;;;;;;;;;;;;;Vertices:560;4365;3096400;716523;2856;;
